n,source_id,acronym,meur,titre,resume_court,label_propose,raison
131,101101946,fLHYing tank,3.00,flight demonstration of a Liquid HYdrogen load-bearing tank in an unmanned cargo platform,"The fLHYing tank project aims to flight-test a 1,000-liter flight-load-bearing vacuum-insulated composite LH2 tank in the Pipistrel Nuuva V300 cargo UAV. This project proposal is disruptive in several perspectives: (i) definition of requirements, design, manufacturing and qualification of a relevant-scale flight-load-bearing fully composite liquid hydrogen tank, (ii) accelerated acquisition of kno",core,"Le texte porte « certification », « aeronautical », « flight test » — objet développé apparemment aéronautique."
132,101007871,HELACS,1.80,Holistic processes for the cost-effective and sustainable management of End of Life of Aircraft Composite Structures,"HELACS will be based on i) previous results of end of life aircraft management projects (such as PAMELA or AIMERE), ii) the review of recommendations and standards for aircraft disassembly and aircraft materials recycling (such as the developed for the Aircraft Fleet Recycling Association - AFRA) and iii) the experience and support of the biggest Maintenance, Repair and Overhaul (MRO) entity in Eu",core,"Le texte porte « maintenance », « aeronautic », « aircraft » — objet développé apparemment aéronautique."
133,314335,JEDI ACE,1.33,Japanese-European De-Icing Aircraft Collaborative Exploration,"JEDI ACE aims to provide an innovative concept of an integrated ice protection system: an inte-grated approach, consisting of combined passive anti-icing coating, active de-icing devices and ice sensors. The system will be applicable to aircraft wings and will support an important technological milestone: the composite wing concept, which today includes also morphing properties.The JEDI ACE consor",core,"Le texte porte « aircraft », « flight » — objet développé apparemment aéronautique."
134,755515,ALMAGIC,1.00,Aluminium and Magnesium Alloys Green Innovative Coatings,"The aeronautic industry is constantly striving to reduce the aircraft operating costs, increase their payload and reduce the environmental impact during the whole life of the product. Metallurgy has played a key role in the development of aviation. With the use of light alloys, as aluminium and magnesium, new applications have been found to apply these to fastly improve existing designs.The disadv",core,"Le texte porte « aeronautic », « aviation », « aircraft » — objet développé apparemment aéronautique."
135,620068,MANOEUVRES,1.12,Manoeuvring Noise Evaluation Using Validated Rotor State Estimation Systems,"The MANOEUVRES project aims at the demonstration of the feasibility of an innovative approach to noise abatement in rotorcraft terminal manoeuvres based on in-flight measurement of the rotor state. In particular, a novel sensor system for rotor tip-path-plane angle of attack will be designed, developed and tested together with the necessary signal conditioning, in order to assess its capabilities ",core,"Le texte porte « aeronautical », « aeronautic », « helicopter » — objet développé apparemment aéronautique."
136,234092,AEROAFRICA-EU,0.36,Promoting European - South African Research Cooperation in Aeronautics and Air Transport,"The intention of this proposal is to create a platform for enhancing aeronautics and air transport research and development (R&D) cooperation between the EU and SA, and to explore the potential for and, where appropriate, to promote the participation of other African countries in such cooperation.  The overall objectives for AEROAFRICA are: • To explore the potential for enhancing cooperation thro",core,"Le texte porte « air transport », « aeronautic » — objet développé apparemment aéronautique."
137,605512,AERODAYSUK2015,0.60,Aerodays 2015 - Aviation for Growth and Sustainability,"The project covers the provision of the Aerodays event in 2015, which the participants propose shall take place in London, UK. Aerodays2015 will be a four-day event attracting some 800 visitors from across the European, and beyond, aviation and aeronautics sector . It will comprise of technical reviews via conferences and poster sessions, high-level policy briefings and debate, and a technological",core,"Le texte porte « aeronautical », « aeronautic », « aviation » — objet développé apparemment aéronautique."
138,101017626,PJ38-W3-ADSCENSIO,6.76,ADS-C ENables and Supports Improved ATM Operations,"The proposal is part of the general principle of Trajectory Based Operations, aiming at improving various features of Air Traffic Control thanks to a better anticipation of how flights would behave.During the execution of a flight, major elements to feed an accurate and reliable trajectory prediction -or alternate scenarios- can be provided by the aircraft itself. These elements can be: wind condi",core,"Le texte porte « air navigation », « air traffic », « aviation » — objet développé apparemment aéronautique."
139,641336,FUSES 2014,0.53,CURRENT LIMITING DEVICE TO ADDRESS DC AERONAUTICS POWER DISTRIBUTION SYSTEMS,"Electrical Power Distribution Systems (EPDS) employed among others in Aeronautics are usually protected by active electronic driven switching components. In order to reduce response time and simplify protection driving, fuses are being considered as one of the prerequisite for the CleanSky HVDC network.The development of a new generation of hybrid and/or full static current limiter solutions, able",core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
140,945548,GAM-2020-REG,32.44,REGIONAL AIRCRAFT 2020-2023,"An aircraft that can transport between approximately 30 and 100 passengers, and is intended for short and medium haul flights can be considered to be a Regional Aircraft. The challenge is to improve the passenger experience so that regional aircraft offer a comparable level of inflight comfort, free from noise and vibration, with a comfort level comparable or better than today’s modern jets and wi",core,"Le texte porte « aircraft », « airport », « flight » — objet développé apparemment aéronautique."
141,886513,INSAT,0.73,INNOVATIVE SYSTEM FOR AIRCRAFT FUNCTIONAL TESTING,"The objective of the proposal is the design and development of an innovative system for the functional testing of aircraft.  The key development and innovation points are:  Autonomous working mode, potentially in the absence of the operator, along with the autonomous management of the failures (smart assistance for error management); should a failure be detected, the system will propose the possib",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
142,101017702,AMU-LED,4.00,Air Mobility Urban - Large Experimental Demonstrations,"The revolution of Urban Air Mobility encompasses new concepts of operations, business cases, applicable regulations, and stakeholders and end users. This new business sector needs to be secured, invented, refined, structured and industrialized while staying sustainable and interoperable within the U-space framework.U-space and Urban Air Mobility (UAM) are topics where a fast increase in research, ",core,"Le texte porte « air navigation », « airworthiness », « air traffic » — objet développé apparemment aéronautique."
143,619992,AIR,0.31,Active and Isolated Rectifier unit for more electric aircraft: Design and Manufacturing of a 10KW AC-DC Converter Unit (AIR),"New challenges for the Active and Isolated Rectifier Units (High performance TRUs) to support the MEA concept are demanding deep changes compared with the conventional TRUs. INDRA and CEI-UPM, the consortium that is presenting this proposal, has a wide experience in the area of high performance TRUs for the new aircraft requirementsThe basic architecture that allows for these high performance TRUs",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
144,863418,ATTILA,5.25,Advanced Testbed for TILtrotor Aeroelastics,"The ATTILA project is aimed at the design, manufacture and testing of an advanced testbed for aeroelastic wind tunnel testing of tiltrotor aircraft. The testbed will consist of a suitably instrumented aeroelastically scaled cantilevered half-wing with powered nacelle-proprotor system representative of the full-scale NGCTR-TD design. Advanced fiber optic sensor and contactless rotating power and da",core,"Le texte porte « flight test », « tiltrotor », « aircraft » — objet développé apparemment aéronautique."
145,265416,OPTI,0.36,Observatory Platform Technological and Institutional,"The monitoring of the implementation of the Strategic Research Agenda developed by the Advisory Council of Aeronautics Research in Europe to reach the 2020 goals is paramount to evaluate the progress, identify gaps, and inform the Air Transport Community of the state of progress.In this context, technical goals and institutional enablers were identified as key areas to address to be able to reach ",core,"Le texte porte « air transport », « aeronautic » — objet développé apparemment aéronautique."
146,620094,LIGHTWELD,0.14,Development of welding technologies for light alloys aircraft structures,"Riveting has been the state of the art of joining technology for aircraft structures since decades. The necessary overlap joint demands a large amount of material which restricts weight savings. Furthermore, the riveting process is quite intensive in process time. The LIGHTWELD project aims at developing and adapting LBW and RSW for newly developed more weldable light alloys with the objective of:",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
147,101101970,ECARE,0.72,European Clean Aviation Regional Ecosystems,"To reach Europe climate neutrality by 2050 as ambitioned by the Green Deal strategy, it is necessary to drastically reduce emissions from aviation. Clean Aviation Joint Undertaking has set out a very ambitious innovation programme to achieve this goal but it is also necessary to create synergy with the different aeronautical regional/national funding programmes in order to create leverage effects ",core,"Le texte porte « aeronautical », « aeronautic », « aviation » — objet développé apparemment aéronautique."
148,296515,OREAT II,0.94,Open Rotor Engines Advanced Technologies II,"A principal contributor to affordable and sustainable public air transportation will be the introduction of more fuel-efficient propulsion systems, one of which is the Open Rotor Engine concept.  Unlike turbofans, open rotors must vary blade pitch to accommodate power and aircraft speed range, so a key element to the viability of the concept is the actuation and control of the blade pitch via the ",core,"Le texte porte « air transport », « turbofan », « aviation » — objet développé apparemment aéronautique."
149,233816,FAST20XX,5.12,Future High-Altitude High-Speed Transport 20XX,"The current project aims at the investigation and development of technologies and steps necessary for approaches to conquer the grey zone between aeronautics and space in Europe, and thus to set the foundation of a new paradigm for transportation in the long term. The underlying concepts considered are a) a European space plane based on an airplane launch approach to advance European know how in t",core,"Le texte porte « aeronautic », « flight » — objet développé apparemment aéronautique."
150,296489,RIFPA,0.26,Grooved paint surface manufacturing for aerodynamic drag reduction testing,"Experiences had been conducted in the 90's showing that longitudinal grooves actually reduce the aerodynamic drag. However, plastic stickers used in that period suffered inconvenient.In this programme, it is proposed to realize various shapes of grooved surfaces thanks to a new casting method, developed by the applicant.The project aims at providing ONERA with models covered with grooved paint of ",core,"Le texte porte « aeronautical », « aeronautic », « aircraft » — objet développé apparemment aéronautique."
151,821344,CROSSONT,0.50,CROwned Spline Surface Optimization using New Treatments,The main goal of the project CROSSONT is to provide surface treatment methods for crowned splines which are able to fulfil the requirement of reducing the risk of wear and minimizing the friction in the spline connections between shaft and gear. It is the consortium's firm conviction that outstanding surface properties for crowned splines in UHBR applications can be generated with a combination of,core,Le texte porte « maintenance » — objet développé apparemment aéronautique.
152,233543,SUPRA,3.71,Simulation of Upset Recovery in Aviation,The aim of this research project is to investigate the usefulness of advanced flight simulator concepts for teaching pilots to detect and recover from flight upsets. The term “flight upset” indicates a situation when an aircraft in flight unintentionally exceeds the parameters normally experienced in line operations or training. Loss of control due to unsuccessful upset recovery is considered an i,core,"Le texte porte « flight test », « aviation », « aircraft » — objet développé apparemment aéronautique."
153,278365,HiTME,0.90,High Temperature Electronics,"The migration of electronic control units from the engine fan-case to the core would be considered a huge benefit for the engine designer, reducing interconnection complexity and system weight, simplifying assembly and maintenance and providing key nacelle aerodynamic and bypass flow improvements.However, today’s engine control electronics, typically mounted on the engine fan-case, operates to a m",core,"Le texte porte « maintenance », « nacelle » — objet développé apparemment aéronautique."
154,734160,PJ15 COSER,5.04,Common Services,"The legacy of  Air Traffic Management (ATM)  evolution in Europe has resulted in today’s highly fragmented, country-based, services. A consequence of this fragmentation, there is a negative impact on the cost in the provision of ATM service in Europe.  A fundamental goal of the Single European Sky initiative is to “provide ATM services to airspace users at a cost of at least 50 % less”. The notion",core,"Le texte porte « air navigation », « air transport », « air traffic » — objet développé apparemment aéronautique."
155,864911,NIFTI,2.25,Non-Intrusive Flow distortion measurements within a Turbofan Intake,"Short and slim aero-engine intake designs for very high bypass ratio configurations cause notable levels of unsteady distortions at the fan face especially under cross-wind or angle of attack operation during aircraft take-off. Such distortions can adversely affect the engine’s performance, operability, structural integrity and safety margin with potentially catastrophic consequences for the entir",core,"Le texte porte « certification », « turbofan », « aircraft » — objet développé apparemment aéronautique."
156,101288398,REDUCT,1.00,Reducing Uncertainties in Contrail Impact and Climate-optimized Traffic Flow Modelling in Aviation,"REDUCT seeks to advance Europe’s environmental assessment tools for understanding and mitigating the climate impact of aviation, with a special focus on contrail formation and its integration into Air Traffic Management (ATM) systems. The project directly addresses SESAR’s exploratory research priority FR-1, which seeks a deeper understanding of the ATM system’s impact on climate change. The ultim",core,"Le texte porte « air traffic », « aviation », « aircraft » — objet développé apparemment aéronautique."
157,255907,MAS_LAB,0.25,Multipurpose Aircraft Simulation Laboratory,"The tendency of the past to build and test in aeronautics has clearly been overridden by a very extensive simulation activity for many reasons, one of these being the risk associated to safety-critical or safety-related systems. Simulation in hence strategic to develop and test all the key aircraft elements, such as flight control systems, and is now being used effectively also beyond the design p",core,"Le texte porte « aeronautic », « aircraft », « avionic » — objet développé apparemment aéronautique."
158,101017643,Uspace4UAM,4.00,U-space for UAM,"Aiming to bridge the gap between development and deployment, this VLD project will tackle issues of operational concepts, regulation, and standards, while building confidence in a safe and orderly integration of UAM in every days air traffic. It will do this with a consortium of forward-looking cities and ANSPs, national regulators and EASA, a well experienced UTM provider, as well as eVTOL manufa",core,"Le texte porte « air traffic », « drones », « drone » — objet développé apparemment aéronautique."
159,999906,ED,38.39,JTI-Clean Sky 1-Eco Design-Integrated Technology Demonstrator,ECO - Eco Design: Eco-Design ITD is organized in the two major areas of EDA (Eco-Design for Airframe) and EDS [Eco-Design for Systems (small aircraft)]. The EDA part of the Eco-Design ITD is meant to tackle the environmental issues by focusing on the following challenges: 1. To identify and maturate environmentally sound ('green') materials and processes for a/c production. 2. To identify and matu,core,"Le texte porte « maintenance », « aircraft », « airframe » — objet développé apparemment aéronautique."
160,821467,RATIOS,0.55,Regional Aircraft breakThrough InteriOr Solution,"Notwithstanding the increased mobility of European citizens across Europe, with regional flights becoming a frequent means of transportation for reasons of work, family or leisure, flight experience still suffers from several shortcomings, especially in terms of time efficiency (with boarding bottlenecks and dis-embarkment problems) and lack of comfort on board (reduced space and connectivity for ",core,"Le texte porte « aircraft », « airline », « flight » — objet développé apparemment aéronautique."
161,755596,ADVENT,2.00,Advanced ventilation techniques for modern long-range passenger aircraft to promote future energy management systems,"Alternative or novel ventilation concepts with enhanced heat removal efficiency and local ventilation efficiency allow reconsidering the fresh air fraction of modern passenger aircraft cabins and thus help to save bleed air and energy in the future. In order to identify and verify corresponding concepts, parametric studies will be conducted in a long range aircraft cabin mock-up by numerical simul",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
162,945500,GAM-2020-SAT,2.31,Small Air Transport (SAT) - GAM 2020,"Currently, there is a big need for connecting small airports in remote areas. However, today no affordable solution is available due to the high cost per seat of current available small aircraft.Thus, a reduction of operating cost of small aircraft (up to 19 seats) is needed to open this promising market, contributing to improve mobility in Europe, connecting small cities and helping to reduce fli",core,"Le texte porte « air transport », « certification », « aviation » — objet développé apparemment aéronautique."
163,699299,DART,0.60,Data-driven AiRcraft Trajectory prediction research,DART (Data-driven AiRcraft Trajectory prediction research) addresses the topic “ER-02-2015 - Data Science in ATM” exploring the applicability of data science and complexity science techniques to the ATM domain. DART will deliver understanding on the suitability of applying big data techniques for predicting multiple correlated aircraft trajectories based on data driven models and accounting for AT,core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
164,807097,LPA GAM 2018,184.97,Large Passenger Aircraft,"The challenge for Clean Sky 2's Large Passenger Aircraft Programme is to further mature and validate key technologies such as advanced wings and empennages design, making use of hybrid laminar airflow wing developments, as well as an all-new next generation fuselage cabin and cockpit-navigation.",core,"Le texte porte « aircraft », « fuselage », « cockpit » — objet développé apparemment aéronautique."
165,999901,GRA,69.13,JTI-Clean Sky 1-Green Regional Aircraft-Integrated Technology Demonstrator,"GRA - Green Regional Aircraft: Future green regional aircraft will have to meet demanding weight reduction, energy and aerodynamics efficiency, a high level of operative performance, in order to be compliant regards to pollutant emissions and noise generation levels. Objective of the Green Regional Aircraft ITD is to mature, validate and demonstrate the technologies best fitting the environmental ",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
166,865217,HLFC 4.0,0.71,Hybrid Laminar Fluid Control 4.0,The use of HLFC (Hybrid Laminar Flow Control) systems is a important advantage that will improve the aerodynamic efficiency of flights significantly. Either using passive or active solutions many challenges have been tackled and demonstrators have been developed in the past.To be able to assembly the HLFC systems to the leading edge of the wing complex tools should be developed in order to obtain ,core,"Le texte porte « aeronautic », « flight » — objet développé apparemment aéronautique."
167,101007948,NEMARCO,0.75,NEW MANUFACTURING ROUTES (FOR NiCrSiFeB ALLOYS) TO REPLACE COBALT IN AIRCRAFT COMPONENTS,The main objective of NEMARCO is to select the adequate chemical composition(s) and manufacturing process parameters for obtaining sealing rings of nickel self-fluxing alloys that can offer the required performance against high-temperature (HT) wear and overcome the health potential issue regarding wear particles Cobalt alloys (current solution) in cabin air. Two manufacturing routes: Horizontal C,core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
168,101287781,RAXUS,5.00,Risk-based Authorisation and eXecution in U-space airSpaces,"RAXUS delivers digital solutions to streamline UAS operations in and outside U-space by automating flight authorizations and integrating risk assessment frameworks aligned with SORA and ARA standards. It enables a near-automated workflow from initial intent declaration to U-plan submission, supported by comprehensive, quantifiable risk assessments using live data on connectivity, population densit",core,"Le texte porte « flight », « easa » — objet développé apparemment aéronautique."
169,267487,3DFSE,0.06,3D Design of Flap Side Edge Flow Control,Flaps are part of the high lift system deployed during take-off and landing phases of aircraft operation. Previous work has identified a flap side-edge as an important source of airframe noise. The objective of this work is to perform a numerical study aimed at the design and optimization of a suitable flow control technique to reduce the flap side-edge noise. The flow control method can be either,core,"Le texte porte « aircraft », « airframe », « landing » — objet développé apparemment aéronautique."
170,716935,CRO-INSPECT,0.35,Collaborative RObotic Solution for Advanced Inspection of Complex Composite parts,"Highly integrated composite parts have begun to enter the market. Their inherent complex structure makes more difficult inspection activities being crucial the development of more flexible, more reliable and faster NDT solutions.  Regarding NDT methods, Ultrasonic testing (UT) techniques are suitable for the inspection of large and hidden areas and recently developed ones, like guided waves, have ",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
171,763719,CLASS,0.91,CLear Air Situation for uaS:  Maturing ground based technologies for a real-time Unmanned Aerial System Traffic Management System (UTMS) to monitor and separate Unmanned Aerial System (UAS) traffic,"CLASS will bring the main technologies required for surveillance of Unmanned Aerial Systems (UAS) Traffic at a better level of maturity, allowing developing a pre-operational prototype of a UAS Traffic Management System (UTMS).CLASS will compose existing technologies to build the core functions of a UTMS: • real-time tracking (cooperative and non-cooperative) and display, • aggregation of relevant",core,"Le texte porte « unmanned aerial », « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
172,687015,ERaCLE,1.03,invEstigation of pushing pRopeller engine Configurations trough wind tunneL Experiments,"ERaCLE will tackle the further developmet and eventual validation of a fast tool for the preliminary design of propeller based engine configurations from an acoustic point of view.This objective will be achieved throughout a WT test campaign to measure the near-field and far-field acoustic propagation of a pushing and wing mounted propeller-based propulsion, parameterized w.r.t. propeller design f",core,Configurations de moteur à hélice propulsive validées en soufflerie.
173,101251523,LIME,5.00,Lithium based Innovation for Modular Energy,"LIME project, led by Ascendance (France), expert in hybrid electric propulsion technologies for aviation and aircraft integration), unites EXOES (France), an expert in thermal integration and battery packaging mainly for non-aeronautics sectors, RWTH Aachen University (Germany), a research organization renowned for battery engineering expertise, BASQUEVOLT (Spain) a pioneer in solid state battery ",core,"Le texte porte « aeronautic », « aviation », « aircraft » — objet développé apparemment aéronautique."
174,234117,PICASSO,4.96,imProved reliabIlity inspeCtion of Aeronautic structure through Simulation Supported POD,"With aging engines and the increase of air traffic in the next 20 years, a central challenge in the aeronautical industry will concern the increase of the efficiency of maintenance which still represents around 20% of an operator’s indirect operating costs. This challenge is particularly important for metallic parts within the engine aircraft industry, because of the criticity of rotative componen",core,"Le texte porte « aeronautical », « maintenance », « air traffic » — objet développé apparemment aéronautique."
175,783211,SAFEDRONE,1.17,Activities on drone integration and demonstration in VLL operations,"The scope of the SAFEDRONE project is to acquire practical experience in Very Low Level (VLL) operations where general aviation, state aviation and optionally piloted aircrafts and drones will share the airspace. It is important to highlight that this project will have a clear practical focus which primary activities will be innovation, integration, and especially, demonstrating activities with fl",core,"Le texte porte « aeronautical », « flight test », « aeronautic » — objet développé apparemment aéronautique."
176,999904,SGO,109.55,JTI-Clean Sky 1-Systems For Green Operations-Integrated Technology Demonstrator,"SYSTEMS FOR GREEN OPERATIONS and DEMONSTRATORS: The Systems for Green Operations ITD was built on the previous large projects of collaborative research, focussing on studies on technologies and integration both on ground and in flight, related to electrical systems, on-board equipment, dedicated test benches and applications (for both small and large aircraft configurations). MAE (Management of Ai",core,"Le texte porte « flight test », « aircraft », « landing » — objet développé apparemment aéronautique."
177,821328,IDEN,1.40,Innovative Distributed Electrical Network,"With the introduction of the more electric aircraft greater emphasis is placed on the power generation and  distribution architecture as a result of increased power demands and higher efficiency needs, as well as the interest in using electrical power for more flight critical applications. Together with the steady drive for reduced weight, increased reliability and reduced maintenance, this leads ",core,"Le texte porte « certification », « maintenance », « aircraft » — objet développé apparemment aéronautique."
178,323478,LIFEMOD,0.57,Enhanced material lifing model for rotating welded structures,"Green and sustainable engines require accurate and well documented material data for safe operation of the engines at optimum efficiency. The SAGE project aims at demonstrating open rotor engines and technologies to reduce fuel consumption, weight and increased efficiency of engine components. Structural integrity and safety of engine critical parts have to be considered with regard to design, man",core,Le texte porte « maintenance » — objet développé apparemment aéronautique.
179,287127,HighPMAAC,0.79,High Performance Modular Architecture of Acquisition and Control command system dedicated to test Electrical systems for Aeronautics,"The HighPMAAC project will create, design, develop and validate a new High Performance Modular architecture of Acquisition and Control Command system dedicated to test Electrical Systems for Aeronautics in an efficient way.This new architecture will allow easily to perform tests in an “independent way” at the Equipment Level. We’ll then be able to perform tests at System Level, providing a full in",core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
180,785472,INTELLICONT,2.00,Development and Manufacturing of Intelligent Lightweight Composite Aircraft Container,Air cargo has experienced tremendous growth. Essential components and open field of technological advancement are air-cargo containers (ULDs) which have not followed the technological advances of aircraft structures and systems. The faced challenges are: reduce ULD and aircraft weight; enhance container fire/smoke detection and suppression; eliminate permanent moving and locking hardware; enhance ,core,"Le texte porte « certification », « maintenance », « aircraft » — objet développé apparemment aéronautique."
181,864771,SafeNcy,1.00,SafeNcy - the safe emergency trajectory generator,"SafeNcy project aims at designing, developing, testing and validating a TRL5 on-board function for the FMS capable to support the pilot in the decision making process following an emergency situation with degraded and adverse conditions.Firstly, an emergency landing site selection algorithm will be developed, using a database of possible landing sites that is constantly updated via data-link conne",core,"Le texte porte « aviation », « aircraft », « landing » — objet développé apparemment aéronautique."
182,687014,MACAO,0.37,Development of VOCs and ozone Micro-analysers based on microfluidic devices for Aircraft Cabin Air mOnitoring (MACAO),"The origins of pollutants inside the aircraft cabin are various. Ozone comes from outside, particularly when the aircraft is flying at high altitudes near the stratospheric ozone layer. In addition to the materials emissions, carbonyl species can be also produced in the cabin by reaction of ozone with unsaturated VOCs.Ozone and VOCs can cause acute respiratory problems, aggravate asthma and increa",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
183,101101974,UP Wing,38.01,Ultra Performance Wing,"The Ultra Performance Wing project will validate, down select, mature and demonstrate key technologies and provide the architectural integration of “ultra-performance wing” concepts for targeted ultra-efficient Short/Medium Range aircraft (SMR),  i.e. 150-250 PAX and 1000-2000nm range.The project directly addresses the Clean Aviation objectives: fuel burn reduction of minimum 30% aircraft level, c",core,"Le texte porte « turbofan », « aviation », « aircraft » — objet développé apparemment aéronautique."
184,233805,PPLANE,3.28,Personal Plane: Assessment and Validation of Pioneering Concepts for Personal Air Transport Systems,"The PPlane project is a direct follow up study to Out-of-the-Box project that aimed to identify potential new concepts and technologies for future air transport and focused on a number of radical changes to the system rather than taking incremental steps.As a result of the Out-of-the-Box project, PPlane implements a systematic approach to radical and novel ideas for Personal Air Transport System (",core,"Le texte porte « air transport », « aviation », « sesar » — objet développé apparemment aéronautique."
185,233772,REACT4C,3.20,Reducing Emissions from Aviation by Changing Trajectories for the benefit of Climate,"The collaborative project REACT4C (Reducing Emissions from Aviation by Changing Trajectories for the benefit of Climate) has the objectives: (1) to explore the feasibility of adopting flight altitudes and flight routes that lead to reduced fuel consumption and emissions, and lessen the environmental impact; (2) to estimate the overall global effect of such ATM measures in terms of climate change. ",core,"Le texte porte « aviation », « aircraft », « flight » — objet développé apparemment aéronautique."
186,285681,VR-HYPERSPACE,3.42,The innovative use of virtual and mixed reality to increase human comfort by changing the perception of self and space,"VR-HYPERSPACE addresses the concerns expressed in ACARE’s Vision 2020 publication of changing demographics and increased urbanization resulting in society in 2050 and beyond needing more long-range transport for business and social-related mobility.  What is required is a radical approach to conventional thinking with regards to the internal and external dimensions of the cabin, and revolutionary ",core,Le texte porte « aviation » — objet développé apparemment aéronautique.
187,785407,cLEvER,0.70,Lightweight and rEliable Emergency exits and cabin footstep for fast Rotorcraft,"To save more lives, civilian rotorcraft operators need to reduce operating time in the Search and Rescue missions or Emergency Medical Services. The primary answer to this time saving challenge is firstly, increase the speed of the rotorcraft and secondly, develop some innovative rotorcraft sub-systems facilitating patients access to the rescuers and the rotorcraft. Coupled to speeder, safer, more",core,"Le texte porte « flight test », « aeronautic », « helicopter » — objet développé apparemment aéronautique."
188,738039,EURECA,1.24,Enhanced Human Robot cooperation in Cabin Assembly tasks,"The EURECA project framework is dedicated to innovate the assembly of aircraft interiors using advanced human-robot collaborative solutions. A pool of devices/frameworks will be deployed for teaming up with human operators in a human-centered assistive environment, always ensuring safety requirements. Solutions are peculiarly designed for addressing both the working conditions and the management o",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
189,308914,BRAINFLIGHT,0.60,Brain controlled aircraft flight using multiple feedback mechanisms,"Several studies have revealed that the activity of neurons is sufficiently capable of providing enough data to enable the control of an electronic device using solely signals provided by the brain. Project BRAINFLIGHT proposes the application of this kind of control in the world of aircraft, to enable people to control aircraft using only neural signals emitted from their brain. This kind of appro",core,"Le texte porte « aircraft », « flight », « uav » — objet développé apparemment aéronautique."
190,101288499,NOMAD,21.38,Next-Gen Service Oriented Modular ATM Development for Enroute & TMA​,"The NOMAD project (Next-Gen Service Oriented Modular ATM Development for En-Route & TMA) addresses the SESAR 3 IR-02 WA3.1 call by defining, building, and validating the next generation of service-oriented, modular and multi-vendor ATM platform. Its ambition is to establish an agile, interoperable and future-proof environment for ATS provision, supporting the Digital European Sky vision (DES Phase",core,"Le texte porte « air transport », « certification », « air traffic » — objet développé apparemment aéronautique."
191,271881,ADAVES,0.18,Advanced avionics equipment simulation,"The objective of the project is to develop a high fidelity and accuracy GPS system simulation, capable of being seemly integrated in Green Regional Aircraft (GRA) flight simulator.The development of a green FMS is an essential factor for integrating green technologies in GRA simulator and for achieving the following Clean Sky environmental goals.•50% reduction of CO2 emissions•80% reduction of NOx",core,"Le texte porte « aircraft », « avionic », « flight » — objet développé apparemment aéronautique."
192,101102007,HERA,34.98,Hybrid-Electric Regional Architecture,"HERA will identify and trade-off the concept of a regional aircraft, its key architectures, develop required aircraft-level technologies and integrate the required enablers in order to meet the -50% technology-based GHG emission set in SRIA for a Hybrid-Electric Regional Aircraft.The HERA aircraft, having a size of approximately of 50-100 seats, will operate in the regional and short-range air mob",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
193,323543,L-CROR CTS,1.50,Low speed aerodynamic test of large CROR aircraft model in a closed test section,"Tests will be performed on a full model with installed CROR engines. The model will be mounted on a ventral sting, located at tunnel centre line. The model is provided with two powered Counter-Rotating propellers which are driven by two air motors (owned by the Topic Manager).The aim of the test is to determine the aerodynamic performance and stability & control characteristics of a CROR powered a",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
194,267651,LUBEST,0.18,Performance and qualification tests of lubrication system equipment,"ULB-ATM will adapt its current test benches for lubrication equipment to the new requirements imposed by the CROR application. The lubrication equipment to be tested are lubrication pumping units (one at a time or several together), oil tanks, heat exchangers and various associated components as filters, valves and other accessories like sensors or monitoring devices.All tests will be performed wi",core,Qualification d'équipements de lubrification pour l'application CROR (rotor ouvert contrarotatif).
195,714486,SPAIN,0.39,Smart Panels for SAT Aircrafts Cabin Insulation,SPAIN Project main goal is to move from the current design of the fuselage insulation  for small aircraft towards an innovative concept that considers insulation as a characteristic provided by the cabin lining panels. More than researching new and innovative materials for applications in aircraft cabin insulation(because such a solution could require a long certification  process that could devia,core,"Le texte porte « certification », « maintenance », « aircraft » — objet développé apparemment aéronautique."
196,699340,AURORA,0.83,Advanced User-centric efficiency metRics for air traffic perfORmance Analytics,"This project will propose advanced metrics to assess the operational efficiency of the ATM system (challenge of the topic ER-11-2015). These new metrics will be developed with the aim of encapsulating the airspace users’ operational objectives, considering fuel consumption, schedule adherence and cost efficiency of the flights. User-preferred trajectories will be defined as references for performa",core,"Le texte porte « air traffic », « airline », « flight » — objet développé apparemment aéronautique."
