n,concept,source_id,acronym,appel,meur,titre,resume_court,label_propose,raison
177,rotorcraft,946966,Raven,H2020-EIC-SMEInst-2018-2020-3,2.23,AI-based autonomous flight control for the aircraft of today and electric VTOLs of tomorrow,We are developing Raven—a novel AI autonomous flight control system. Raven is an airframe-agnostic solution targeted at fly-by-wire aircraft of today (fixed-wing airplanes & helico,core,"Commande de vol autonome par IA, agnostique de la cellule"
178,rotorcraft,945535,GAM-2020-SYS,H2020-IBA-CS2-GAMS-2019,62.62,SYSTEMS ITD GAM 2020,"The Systems ITD will develop and build highly integrated, high TRL demonstrators in major areas such as powermanagement, cockpit, wing, landing gear, to address the needs of future",core,Clean Sky 2 — SYSTEMS ITD (appel GAM non capté)
179,rotorcraft,718493,ReCETT,H2020-SMEINST-1-2015,0.05,Remote Control of Electrical Transmission Tower,"It’s urgently needed to assess automatically and in real time the stability of the High Voltage Electric Transmission and Distribution (T&D) Grid in Europe, as 5% (≈ 9000 in France",excluded,Surveillance de pylônes électriques
180,rotorcraft,732433,AiRT,H2020-ICT-2016-1,0.91,Technology transfer of Remotely Piloted Aircraft Systems (RPAS) for the creative industry,"Aerial photography and filming represent an indispensable resource for the Creative Industries (CIs). When filming in indoor environments, auxiliary devices as cable cams, camera r",borderline,Transfert de RPAS aux industries créatives — l'objet est la prise de vue
181,rotorcraft,724109,RADIAN,H2020-MG-2016-SingleStage-INEA,2.00,Facilitating Collaboration in ReseArch and Development to Foster Further Innovation in European AeroNautics,Aviation is a vital industrial sector of Europe’s society and economy. For several historical reasons the economic activities in this field are unevenly distributed across Europe. ,core,Collaboration en recherche et développement aéronautiques
182,rotorcraft,710622,HIGHER,H2020-SMEINST-1-2015,0.05,HIGHER: “High performance Engine for Light Sport Aircraft,"HIGHER project will launch on the aviation market an innovative engine which will contribute to make small aircrafts and helicopters individual, diffused, sustainable and safe tran",core,Moteur pour avion léger de sport
183,rotorcraft,880240,A2Miro,H2020-SMEInst-2018-2020-2,1.55,A2Miro Solution: a fully automated inspection system by our SensorCopter that reduces WTs downtime,"Offshore Wind is a promising source of energy to accelerate world’s transition to a fossil-free future. However, a pain point hinders industry’s efforts to reduce the cost of offsh",excluded,Inspection d'éoliennes offshore
184,rotorcraft,724139,SARAH,H2020-MG-2016-SingleStage-INEA,6.64,Increased Safety and robust certification for ditching of aircrafts and helicopters,"SARAH is concerned with establishing novel holistic, simulation-based approaches to the analysis of aircraft ditching. It is build up from a consortium of experts from OEM industri",core,Certification de l'amerrissage d'aéronefs : navigabilité
185,rotorcraft,880642,WILDHOPPER,H2020-SMEInst-2018-2020-2,2.49,WILD HOPPER - Heavy-Duty UAV for day and night firefighting operations,"DRONE HOPPER is a company devoted to designing and manufacturing heavy-duty multirotor drones. For that, it hasdeveloped a number of proprietary technologies aimed at, essentially,",core,Drone lourd de lutte anti-incendie : développe l'aéronef (F2)
186,rotorcraft,827200,Apollo,H2020-SMEInst-2018-2020-1,0.05,Novel electric turbines to power the VTOL drone & aircraft revolution,"For decades, vertical take-off and landing aircrafts (VTOL) have seen their use limited to special-purpose & military applications. By 2017, companies like Lilium Aviation and othe",core,Turbines électriques pour drone VTOL (F2)
187,rotorcraft,875887,LOLAS,H2020-SMEInst-2018-2020-1,0.05,"Precise and reliable autonomous landing for drones, helicopters and other rotorcraft","Landing has always been one of the most dangerous flight phases for any aircraft, but particularly so for rotorcraft (drones, helicopters & other). Challenging weather conditions o",core,Atterrissage autonome de drones : navigabilité et opérations (F2)
188,rotorcraft,285462,EGALITE,FP7-PEOPLE-2011-IAPP,1.92,Research on EGNOS/Galileo in Aviation and Terrestrial Multi-sensors Mobility Applications for Emergency Prevention and Handling,"The EGALITE project is designed for intersectorial transfer of knowledge and staff training between large university from Poland, Silesian University of Technology, and two efficie",core,EGNOS/Galileo dans l'aviation : navigation aérienne
189,rotorcraft,761656,DroneHopper,H2020-SMEINST-1-2016-2017,0.05,DroneHopper: an innovative solution for firefighting through remote-controlled aircrafts.,"Drone Hopper is remote-controlled aircraft that incorporates a container unit to hold liquids that can be used for firefighting, propelling nebulised liquid to be directed towards ",core,"Drone de lutte incendie : développe l'aéronef (F2, gold set corrigé)"
190,rotorcraft,723509,MoNIfly,H2020-MG-2016-Two-Stages,2.02,Mobile-Network Infrastructure for Cooperative Surveillance of low flying drones,The number of drones in commercial and recreational use is expected to grow significantly within the next years. Currently the most dynamic market is in low flying remotely piloted,core,"Surveillance coopérative des drones par réseau mobile (U-space, F2)"
191,rotorcraft,808892,VR-FS,H2020-SMEINST-1-2016-2017,0.05,Virtual Reality in high fidelity Flight Simulation,"The adoption of flight simulation slowly started after the Second World War, as a disruptive innovation in the training of aviation pilots. Its enormous potential for cost savings ",core,Simulation de vol en réalité virtuelle : moyens de formation
192,rotorcraft,824310,ICE GENESIS,H2020-MG-2018-SingleStage-INEA,11.96,Creating the next generation of 3D simulation means for icing,"Current design methodologies used to characterise ice accretion and its effects on air vehiclecomponents and power plant systems are mainly based on empirical methods, comparative ",core,Simulation 3D du givrage sur véhicules aériens
193,rotorcraft,658846,Rotary Wing CLFC,H2020-MSCA-IF-2014,0.17,Closed-Loop Flow Control to Enhance Aerodynamic and Aeroacoustic Performance of Wind-Turbine Blades,"Aerodynamic loads and noise emitted from rotating blades are of interest in many industrial applications, such as wind-turbines, aircraft propellers, helicopter blades, and cooling",borderline,Contrôle d'écoulement sur pales tournantes — « nombreuses applications industrielles »
194,rotorcraft,807083,GAM AIR 2018,H2020-IBA-CS2-GAMS-2017,160.97,AIRFRAME ITD,The Airframe ITD aims at re-thinking and developing the technologies as building blocks and the “solution space” on the level of the entire or holistic aircraft: pushing aerodynami,core,Clean Sky 2 — AIRFRAME ITD (appel GAM non capté)
195,rotorcraft,712667,HYBCOPTER,H2020-SMEINST-1-2015,0.05,Hybrid multi copter with 6 times more flight time.,We have developed a hybrid multi copter with 6 times more endurance than any electric multirotor for ISR and emergency response applications. Our solution is available in three ver,core,Multicoptère hybride à endurance étendue (F2)
196,rotorcraft,883511,Centurion 3,H2020-SMEInst-2018-2020-1,0.05,Innovative offshore safety system to protect the body from cold shock in extreme conditions,"Every year 360,000 people die worldwide as a result of drowning, making it the third leading cause of unintentional injury death worldwide, accounting for 7% of all injury-related ",excluded,Sécurité en mer et prévention des noyades
197,rotorcraft,945542,GAM-2020-FRC,H2020-IBA-CS2-GAMS-2019,57.32,Fast Rotorcraft,"The challenge in rotorcraft design is always to improve payload-lifting capability, reduce fuel burn and increase the vehicle'srange – the traditional objectives in aeronautical de",core,Clean Sky 2 — Fast Rotorcraft (appel GAM non capté)
198,rotorcraft,698282,PSR94,H2020-SMEINST-2-2015,1.12,Commercialisation of 94GHz Phase Shifting Radar (PSR94),"This proposal presents a unique opportunity to commercialise ground-breaking radar technology, a 94GHz Phase Shifting Radar (PSR94). We will bring the PSR94 from the current TRL 6 ",borderline,Radar 94 GHz — application non précisée
199,rotorcraft,817161,UAVEndure I,H2020-SMEInst-2018-2020-1,0.05,UAVEndure,"Small, long endurance electric Unmanned Arial Vehicles (UAVs) is the key enabling technology missing in the emerging market for airborne border surveillance and perimeter control, ",core,Drones électriques de longue endurance (F2)
200,rotorcraft,783518,YawSTOP,H2020-SMEINST-2-2016-2017,1.71,"First stabilisation device to enable rotation-free and rotation-controlled lifting and loading of cargo and goods by cranes or helicopters to make transportation more efficient, reliable and safe","Objective of the YawSTOP project is to upscale, pilot and commercialise the first stabilisation device for cranes and helicopters that allows rotation-free and rotation-controlled ",excluded,Stabilisation pour le transport maritime (doublon d'appel)
